,age_group,gender,education,total_fam_income,marital_status,nicotine,alcohol,marijuana,cocaine,heroin,hallucinogen,inhalant,methamphetamine,pain_reliever,tranquilizer,stimulant,psychotherapeutic,think,plan,attempt
684,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
706,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
713,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
719,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
734,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
743,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
746,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
747,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
749,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
750,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
760,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
764,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
767,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
769,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
770,1,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
772,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
776,1,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
777,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
780,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
782,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
784,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
794,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
798,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
806,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
826,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
831,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
835,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
836,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
846,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
847,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
848,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
849,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
850,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
852,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
855,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
858,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
860,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
865,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
876,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
877,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
881,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
882,1,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
903,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
910,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
912,1,0,5,7,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
916,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
920,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
926,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
932,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
935,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
941,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
942,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
946,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
948,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
950,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
951,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
956,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
962,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
964,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
967,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
968,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
975,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
976,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
985,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
986,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
994,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,1,0,5,7,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1007,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1011,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1014,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1021,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1028,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1034,1,1,5,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1037,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1041,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,1,1,5,6,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
1049,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
